uniqueid,farmid,Name_Availablity_Code,Telephone_Availablity_Code,address_Availablity_Code,crop_Availablity_Code,email_Availablity_Code,livestock_Availablity_Code,Crops_Name,LiveStock_name,state,city,zipcode,latitude,longitude,Owner_operator_type,rural_flag,total_farm_exact_acres
229,F00000886721,NULL,NULL,1,1,NULL,1,"CORN,ALFALFA,FORAGE,FRUITING AND FLOWERING VEGETABLE,TOBACCO,MELONS,BARLEY",DAIRY,MA,HADLEY,1035,42.3561,72.5677,,1,184
550,F00000778721,NULL,NULL,1,1,NULL,1,"CORN,ALFALFA,FORAGE",DAIRY,MA,LANESBOROUGH,1237,42.5714,73.2564,,1,148
571,F11000538454,1,1,1,1,NULL,1,,SHEEP,MA,BECKET,1223,42.3623,73.1505,,1,9
633,F00000792305,1,1,1,1,1,1,FORAGE,CATTLE,MA,ASHFIELD,1330,42.5227,72.8242,,1,240
363,F11000098627,NULL,NULL,1,1,NULL,1,"CORN,GRAIN,ALFALFA,OATS,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS,GRAIN PLUS,BARLEY",DAIRY,MA,SOUTHAMPTON,1073,42.231,72.7376,,1,136
936,F10000079958,1,1,1,1,1,1,BARLEY,SHEEP,MA,PEPPERELL,1463,42.6719,71.6029,,1,4
338,F00000239994,1,NULL,1,1,NULL,1,,SHEEP,MA,OAKHAM,1068,42.35,72.0468,,1,924
687,F00000627701,1,NULL,1,1,NULL,1,"CORN,FORAGE,GRASS",DAIRY,MA,COLRAIN,1340,42.6891,72.7385,,1,32
808,F01000335639,NULL,NULL,1,1,NULL,1,"CORN,FORAGE",DAIRY,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,1,182
1536,F11000918504,NULL,NULL,1,1,NULL,1,FORAGE,CATTLE,MA,MARBLEHEAD,1945,42.4989,70.8636,,NULL,422
2565,F00000823790,1,NULL,1,1,NULL,1,"CORN,OATS,FORAGE",DAIRY,MA,FAIRHAVEN,2719,41.6398,70.8717,,NULL,9
2920,F01000379534,1,1,1,1,1,1,"CORN,ALFALFA,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS",CATTLE,RI,NORTH SCITUATE,2857,41.8328,71.633,,1,56
