Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Solving Patient Problems: Ambulatory Care (Clerkship Series),"By Bowman, Marjorie A. (EDT) and Fisher, Judith A. (EDT)",This new series assists students at all levels in developing their clinical problem-solving or reasoning skills by leading them through the 'clinical reasoning process around common presenting complaints' in the various clinical rotations. The most common diseases that students are likely to encounter are the foundation upon which they may begin to build a more extensive diagnosis.," Medical , Reference",Wiley-Blackwell (Fence Creek Publishing),5.29,December,1998
The Fertility Sourcebook: Everything You Need to Know,"By Rosenthal, M. Sara","Discusses conception planning and reproduction, including diagnosis and treatment of infertility, and up-to-date information about fertility drugs and assisted reproductive technology"," Medical , Gynecology & Obstetrics",Lowell House,4.99,May,1995
Trouble-Free Menopause T,"By Konner, Linda and Marshel, Judy E.","LOOK TO A HEALTHY CHANGEYou've heard about the possible problems associated with menopause. TROUBLE-FREE MENOPAUSE tells you about the solutions--how you can stay healthy, vibrant, and virtually symptom-free despite the natural changes in your body. The authors have devised a sound, simple nutrition and exercise plan that will help you keep your weight down while alleviating symptoms and combating the ""silent"" changes taking place, such as an increased risk for osteoporosis and heart disease.TROUBLE-FREE MENOPAUSE provides the essential facts and answers to the most-asked questions about what to expect before, during and after menopause. It explains the symptoms of menopause, why menopause may be causing you to put on weight, and how what you eat affects the way you feel. With three specially designed eating plans that allow you to choose an approach that works best, plus exercise and stress management plans, you can stay trim and continue a healthy, active life, free from the ill effects of menopause."," Medical , Gynecology & Obstetrics",Harper Perennial,5.32,May,1998
Deadly Feasts: Tracking the Secrets of a Terrifying New Plague,"By Rhodes, Richard","It lurks in the meat we eat. Undetectable, it incubates for years. It kills by eating holes in people's brains, so that they stagger and collapse and lose their minds. It's one hundred percent fatal. And it's already abroad in America. Deadly Feasts reads like a Michael Crichton thriller - but it's documented fact, bringing sober early warning of a new threat to our very lives that every one of us needs to heed.In this brilliant and gripping medical detective story, Pulitzer Prize-winning author Richard Rhodes follows the daring explorations of maverick scientists as they track the emergence of the deadly ""stealth"" maladies known as prion diseases - strange new disease agents unlike any others known on earth. Mad cow disease is one. Besides hundreds of thousands of cattle, young people in Britain and France have already died from it - died from eating beef.Beginning with a cannibal feast in New Guinea only a few decades ago that killed everyone who partook, Rhodes shows this mysterious group of human and animal diseases spreading gradually throughout the world, infecting and killing laboratory animals; patients in surgery; herds of sheep, cattle, mink, deer and elk; children treated with human growth hormone; and now, ominously, healthy young people in Britain and on the Continent. The U.S. Food and Drug Administration announcement in early 1997 of drastic measures to prevent an outbreak of mad cow disease in the United States confirmed what Rhodes reveals and explores in detail: that Americans who eat meat are almost certainly already at risk."," Medical , Diseases",Simon & Schuster,5.29,March,1997
Coping with Lymphedema,"By Swirsky, Joan and Nannery, Diane Sackett","An estimated 100 million people around the world suffer from this lifelong condition, a result of damage to the lymphatic system. It causes extreme swelling of a limb or other part of the body along with pain, immobility, disfigurement, an increased susceptibility to infection, and a variety of other symptoms that make many people feel self-conscious and depressed."," Medical , Endocrinology & Metabolism",Avery Publishing Group,4.99,April,1998
Breast Cancer: The Complete Guide,"By Hirshaut, Yashar and Pressman, Peter I.","Written by two renowned authorities who specialize in the treatment of breast cancer, a surgeon and an oncologist, this is the one indispensable book women need in order to cope with a disease that will strike one out of every nine of them in the United States.Now revised to bring readers the very latest information on diagnosis and treatment, this lucid step-by-step guide contains all the latest information women require if they are to collaborate with their doctors in making truly informed decisions about the care that is right for them."," Medical , Oncology",Bantam,5.29,October,1997
"Pills That Work, Pills That Don't: Demanding and Getting the Best and Safest Medications for You and Your Family","By Bosker, Gideon","Taking a hard look at prescription medications, a consumer's drug guide explains how to choose the best, most effective, and safest medications and incorporates a twelve-week program for eliminating and replacing unsafe and inappropriate prescription drugs. 60,000 first printing."," Medical , Drug Guides",Harmony,5.02,October,1997
Before the Change: Taking Charge of Your Perimenopause,"By Gittleman, Ann Louise","A pioneering guide offers a clear diagnosis of the phase preceding menopause, a thorough survey of popular treatments for menopause, and a detailed guide to diet, exercise, and natural alternatives that can help women control their own health. $50,000 ad/promo."," Medical , Gynecology & Obstetrics",Harper San Francisco,5.29,February,1998
Mayo Clinic On Chronic Pain: Lead a More Active and Productive Life With Answers from the World-RenownedmayoClinic (Mayo Clinic on Health),"By Mayo Clinic (COR) and Swanson, David W. (EDT)","A valuable series drawing from the knowledge of physicians at the world-famous Mayo Clinic continues with a comprehensive resource on chronic pain control, discussing lifestyle changes that can ease the pain, presenting techniques for coping with it, and more. Original."," Medical , Pain Medicine",Kensington,5.29,December,1999
"The Arthritis Cure: The Medical Miracle That Can Halt, Reverse, and May Even Cure Osteoarthritis","By Theodosakis, Jason, Adderly, Brenda, and Fox, Barry","Three prominent health experts present what they believe is a medical miracle, tested over the course of four decades, that can help stop the pain and change the lives of the more than thirty-five million Americans who suffer from osteoarthritis. Tour."," Medical , Rheumatology",St Martins Pr,8.79,January,1997
